"","ethnicity","sex","agegrp","qualification","hours","income"
"7483","European","female",25,4,35,1114
"7484","European","female",45,3,25,568
"7485","European","male",20,3,32,545
"7486","Pacific","male",30,2,5,382
"7487","European","male",40,4,37,2560
"7488","European","female",30,2,40,2039
"7489","European","male",60,2,6,252
"7490","European","female",45,3,40,1055
"7491","Pacific","male",25,2,25,831
"7492","Maori","male",40,1,40,504
"7493","European","female",55,1,37.5,967
"7494","European","male",30,3,40,1109
"7495","European","male",45,3,20,255
"7496","European","male",60,4,50,1667
"7497","Maori","male",40,3,47.5,784
"7498","Maori","female",65,1,40,928
"7499","European","male",45,2,40,1307
"7500","European","female",60,3,40,858
"7501","Asian","female",40,3,25,799
"7502","European","male",35,1,25,1010
"7503","Maori","female",45,3,32,704
"7504","Asian","female",35,4,24,1031
"7505","European","female",45,1,29,555
"7506","European","male",45,4,60,738
"7507","European","male",40,3,32.5,483
"7508","Asian","male",20,2,45,1758
"7509","European","female",35,3,40,1316
"7510","European","female",20,2,37,898
"7511","European","male",25,3,47.5,1153
"7512","Asian","male",25,4,20,240
"7513","Maori","female",25,4,44,1003
"7514","European","male",45,3,40,522
"7515","European","female",20,4,40,1384
"7516","Asian","male",20,2,24,281
"7517","European","female",65,1,15,378
"7518","Asian","female",50,2,11,305
"7519","Asian","female",20,3,40,791
"7520","European","male",15,1,29.5,713
"7521","Maori","male",40,2,55,2401
"7522","European","male",25,3,52,858
"7523","European","female",65,1,40,1944
"7524","European","male",35,3,40,748
"7525","Asian","male",30,4,40,1080
"7526","European","female",30,4,28,556
"7527","European","male",30,3,8,347
"7528","Pacific","male",50,2,40,880
"7529","European","female",60,1,41,1130
"7530","European","male",20,2,14,160
"7531","European","male",65,3,60,1194
"7532","European","female",30,4,32,1260
"7533","European","male",45,3,55,1725
"7534","Maori","female",50,1,20,333
"7535","European","male",50,3,36,614
"7536","Maori","female",55,3,20,414
"7537","European","male",55,3,21,321
"7538","European","female",30,3,38.5,825
"7539","European","female",60,4,40,936
"7540","Asian","female",30,4,55,1210
"7541","European","female",50,3,35,1032
"7542","European","female",25,4,40,740
"7543","European","male",25,3,25.5,502
"7544","Asian","male",20,3,40,686
"7545","European","female",40,2,40,504
"7546","European","female",65,1,40,633
"7547","European","male",60,2,40,963
"7548","European","female",60,1,48,821
"7549","European","female",40,1,40,928
"7550","European","female",35,3,4,51
"7551","European","female",45,3,29,482
"7552","European","female",20,4,30,513
"7553","European","female",55,2,50,1494
"7554","European","female",50,1,40,2166
"7555","Pacific","female",15,1,5.5,61
"7556","European","male",25,4,40.5,673
"7557","European","female",25,3,6,223
"7558","European","female",50,2,40,880
"7559","Asian","male",20,4,40,1100
"7560","European","male",50,3,40,540
"7561","European","female",40,3,40,1085
"7562","European","female",25,3,50,833
"7563","European","female",40,4,40,828
"7564","European","female",40,2,48,754
"7565","European","male",60,1,40,1054
"7566","European","female",20,2,40,1266
"7567","Maori","female",45,1,40,1178
"7568","European","female",35,3,37.5,1009
"7569","European","male",20,2,29,370
"7570","European","female",40,1,40,432
"7571","European","female",40,3,32,1407
"7572","European","male",20,2,41.5,1009
"7573","European","female",20,1,16.5,237
"7574","European","female",55,1,37.5,2069
"7575","Asian","female",25,4,40,636
"7576","European","male",55,2,40,624
"7577","European","female",50,4,37,1172
"7578","European","female",55,3,24,1639
"7579","European","female",25,1,8,393
"7580","European","male",40,4,24,2025
"7581","European","female",60,4,38,2693
"7582","European","male",55,1,40,1477
"7583","European","male",35,1,60,864
"7584","European","female",25,4,37.5,1033
"7585","European","male",30,3,42.5,650
"7586","European","male",60,3,60,653
"7587","European","female",45,3,21,157
"7588","European","female",35,4,40,1171
"7589","Maori","female",20,4,40,720
"7590","European","female",50,3,40,915
"7591","European","female",30,3,20,575
"7592","Maori","male",35,2,40,671
"7593","European","male",20,2,30,1486
"7594","European","female",55,2,10.5,167
"7595","Pacific","female",35,2,10.5,1355
"7596","European","male",55,1,40,788
"7597","European","male",60,3,40,980
"7598","European","female",20,3,40,918
"7599","European","male",50,1,45,994
"7600","European","female",20,2,37,1519
"7601","European","female",40,1,30,556
"7602","Maori","female",35,3,13,2388
"7603","Asian","male",20,4,20,330
"7604","European","female",55,2,40,966
"7605","European","male",40,3,44,823
"7606","European","female",55,2,40,1097
"7607","European","male",55,4,37,1986
"7608","Asian","male",55,4,60,1151
"7609","Pacific","female",20,1,20,270
"7610","European","male",50,4,30,651
"7611","European","male",25,2,22.5,359
"7612","European","male",25,2,37,832
"7613","European","male",55,4,42.5,935
"7614","Asian","male",55,2,45,1426
"7615","European","male",50,4,22,1235
"7616","European","female",50,3,55,842
"7617","European","female",35,4,5,302
"7618","Asian","female",50,4,40,540
"7619","European","female",25,3,40,830
"7620","European","male",45,4,73,1181
"7621","European","female",25,4,36,1881
"7622","European","female",45,2,40,550
"7623","European","male",50,3,45,1992
"7624","European","male",50,3,55,1168
"7625","Asian","male",20,3,40,738
"7626","Pacific","female",50,1,40,559
"7627","European","female",40,3,12,1162
"7628","Pacific","female",30,3,50,2182
"7629","European","male",60,2,45,1279
"7630","Maori","female",15,2,16,362
"7631","European","male",45,1,37,2158
"7632","European","female",45,2,32,754
"7633","European","male",25,3,44,974
"7634","European","male",60,3,40,1249
"7635","European","female",40,2,40,968
"7636","European","female",15,1,18,257
"7637","European","male",40,3,9,243
"7638","Maori","male",65,1,20,354
"7639","European","female",50,3,15,189
"7640","European","female",45,3,14,168
"7641","European","male",30,2,8,234
"7642","Maori","female",50,3,5,64
"7643","European","male",20,2,3,103
"7644","European","male",30,3,40,949
"7645","European","male",40,2,41.5,851
"7646","European","female",30,1,40,949
"7647","European","female",25,4,40,682
"7648","European","male",30,4,37.5,871
"7649","Maori","male",45,1,25,863
"7650","European","male",40,2,60,1450
"7651","European","male",50,3,37,2417
"7652","Maori","female",40,1,52,1240
"7653","European","male",35,4,46.5,1924
"7654","European","male",40,1,40,1899
"7655","European","female",30,4,32.5,670
"7656","European","female",65,2,25,367
"7657","European","male",40,3,37,1467
"7658","Asian","male",25,4,37,467
"7659","European","female",35,2,25,1230
"7660","European","female",45,3,38.5,946
"7661","European","male",60,3,40,864
"7662","European","female",40,4,18,277
"7663","Maori","female",55,1,40,766
"7664","European","male",25,3,37,844
"7665","European","male",45,1,40,2242
"7666","European","male",20,2,31.5,826
"7667","Asian","male",20,3,40,702
"7668","Asian","male",20,2,40,550
"7669","Maori","female",30,2,40,829
"7670","European","female",35,2,40,531
"7671","European","male",25,4,36,673
"7672","Maori","female",20,2,20,563
"7673","European","female",60,4,60,1570
"7674","European","female",35,4,40,2606
"7675","European","female",40,2,18,223
"7676","European","male",65,3,40,972
"7677","European","male",45,1,47,1448
"7678","Maori","female",30,2,40,1118
"7679","European","male",60,3,45,1298
"7680","European","female",60,3,40,1321
"7681","European","male",60,3,46,568
"7682","European","male",20,3,40,682
"7683","European","female",30,3,56,1514
"7684","European","male",45,2,36,1341
"7685","European","female",20,4,40,648
"7686","European","male",45,4,44,1322
"7687","European","male",20,2,45,1089
"7688","Asian","female",50,2,7,213
"7689","European","male",35,4,42.5,803
"7690","European","female",60,4,8,619
"7691","European","male",35,3,40,1903
"7692","Asian","female",25,4,40,1063
"7693","Asian","female",25,4,24,947
"7694","European","female",45,3,15,398
"7695","European","male",55,4,40,638
"7696","Pacific","female",25,1,29,870
"7697","Asian","male",45,4,45,1010
"7698","European","male",25,3,57.5,1291
"7699","European","male",35,3,40,864
"7700","European","female",65,1,37,829
"7701","Maori","male",45,2,40,667
"7702","European","male",35,4,40,572
"7703","European","male",50,3,30,1519
"7704","Maori","female",40,3,40,704
"7705","European","female",50,2,33.5,1317
"7706","Maori","female",25,1,40,450
"7707","European","female",40,4,28,1181
"7708","European","female",45,2,33,481
"7709","European","male",25,3,20,487
"7710","European","male",50,3,42,1163
"7711","European","female",15,1,40,504
"7712","European","male",20,2,16,229
"7713","European","male",50,3,43,1060
"7714","European","male",35,3,5,75
"7715","European","male",60,3,40,844
"7716","European","male",30,2,40,1188
"7717","European","female",20,2,19,361
"7718","European","female",30,4,28,513
"7719","European","male",55,4,44,967
"7720","Maori","male",25,2,45,675
"7721","European","female",45,2,40,909
"7722","Asian","female",25,4,41.5,775
"7723","European","male",60,2,12,251
"7724","European","male",20,2,21,583
"7725","European","male",20,4,40,765
"7726","European","female",20,4,8,123
"7727","European","female",15,1,40,1333
"7728","European","female",65,2,40,1406
"7729","European","female",55,4,32,1144
"7730","Asian","female",30,4,40,844
"7731","European","female",50,4,30,1249
"7732","European","female",40,4,42,1324
"7733","European","female",50,4,40,1263
"7734","European","male",50,2,40,572
"7735","European","male",40,3,40,1541
"7736","European","female",65,1,20,469
"7737","European","female",25,4,38,759
"7738","European","female",60,3,40,1128
"7739","European","female",20,3,3,31
"7740","European","male",40,1,40,594
"7741","European","female",45,4,30,1123
"7742","European","male",40,1,60,982
"7743","European","male",20,2,40,748
"7744","European","male",20,2,40,468
"7745","Asian","female",50,4,45,1441
"7746","European","female",65,3,40,639
"7747","Asian","male",25,4,40,975
"7748","European","female",40,4,40,1373
"7749","Pacific","female",30,1,37.5,719
"7750","European","female",65,1,16,258
"7751","Asian","female",25,4,16,210
"7752","European","female",60,2,34.5,513
"7753","Pacific","male",65,1,40,633
"7754","European","male",55,1,45,1418
"7755","Maori","male",65,1,35,1033
"7756","European","female",20,2,20,423
"7757","European","female",60,3,30,504
"7758","European","male",35,1,34.5,971
"7759","European","female",30,3,40,829
"7760","European","male",45,1,42.5,753
"7761","Maori","female",55,1,33,1223
"7762","European","male",60,3,40,993
"7763","European","female",55,2,17.5,1032
"7764","European","male",40,2,40,1035
"7765","Asian","male",20,2,32,328
"7766","European","female",65,1,40,935
"7767","European","male",35,2,38,1126
"7768","European","male",30,4,40,1477
"7769","European","female",20,2,9,264
"7770","European","male",45,1,49.5,1103
"7771","European","male",25,4,50,1618
"7772","European","male",35,3,40,1056
"7773","European","male",55,4,20,462
"7774","Pacific","female",20,1,37,844
"7775","European","male",20,2,40,818
"7776","European","male",25,3,40,723
"7777","European","female",65,1,36,487
"7778","European","female",35,1,38.5,1303
"7779","Maori","female",30,1,25,401
"7780","European","female",40,4,52,1814
"7781","European","female",65,1,37.5,1676
"7782","European","male",50,4,45,1109
"7783","Pacific","male",40,3,40,1753
"7784","European","female",20,2,40,468
"7785","European","female",50,3,40,1012
"7786","European","male",35,3,55,968
"7787","European","female",40,2,28,462
"7788","Pacific","male",55,1,40,873
"7789","Pacific","male",35,1,45.5,2297
"7790","European","male",65,2,9.5,295
"7791","Asian","female",60,3,32,458
"7792","European","female",30,2,19,293
"7793","Asian","male",55,1,40,682
"7794","European","male",40,4,40,1493
"7795","European","male",60,3,40,903
"7796","European","female",15,3,40,799
"7797","Asian","male",55,3,40,1561
"7798","European","female",50,3,50.5,659
"7799","European","male",20,4,1,19
"7800","Maori","male",45,1,45,965
"7801","Asian","female",45,2,32,644
"7802","Maori","female",30,3,10,741
"7803","European","male",55,3,37,1433
"7804","European","male",50,3,41,943
"7805","European","female",55,2,28,973
"7806","Maori","male",20,2,28,554
"7807","European","male",40,3,40,639
"7808","European","male",30,2,40,1160
"7809","European","male",60,3,40,690
"7810","European","male",50,4,37.5,6050
"7811","Asian","female",45,2,23,710
"7812","European","female",40,1,32,493
"7813","Maori","female",45,1,40,1139
"7814","European","male",60,4,45,907
"7815","European","male",50,3,42,591
"7816","European","female",45,3,18,277
"7817","Maori","female",40,1,8,237
"7818","European","male",35,1,55,756
"7819","Asian","female",40,4,20,676
"7820","Asian","male",25,4,32,677
"7821","Pacific","female",20,2,40,704
"7822","European","female",35,3,16,361
"7823","Asian","female",30,4,20,789
"7824","Maori","female",25,1,16,236
"7825","Maori","male",50,1,41.5,1894
"7826","Maori","female",40,3,5,159
"7827","European","male",35,3,46,1236
"7828","European","female",55,3,45,723
"7829","European","female",65,2,23,256
"7830","European","female",55,3,38,761
"7831","Asian","female",35,4,40,722
"7832","European","male",50,3,40,597
"7833","European","female",40,3,11,728
"7834","Pacific","female",55,3,40,1118
"7835","European","female",20,2,40,616
"7836","European","male",55,1,40,1371
"7837","European","male",60,4,44.5,489
"7838","European","female",50,3,70,1449
"7839","European","male",35,3,6,132
"7840","Asian","female",45,4,27.5,1210
"7841","European","male",45,4,40,2511
"7842","European","female",50,3,40,726
"7843","European","female",65,3,46,582
"7844","European","female",35,3,35,804
"7845","Asian","male",45,2,40,616
"7846","Asian","female",50,4,25,22451
"7847","European","female",50,2,39,1538
"7848","European","female",60,3,20,857
"7849","Asian","male",35,4,10.5,669
"7850","European","female",65,1,55,855
"7851","Pacific","male",20,2,4,135
"7852","European","female",55,3,22.5,683
"7853","European","male",20,4,45,567
"7854","Asian","male",35,4,40,531
"7855","European","female",50,3,43,872
"7856","European","female",40,2,32,432
"7857","European","male",45,4,40,863
"7858","European","male",50,3,45,829
"7859","European","female",40,3,40,648
"7860","European","female",40,2,60,2467
"7861","Maori","male",30,1,40,1882
"7862","European","male",25,4,65,1636
"7863","European","male",60,1,37.5,1310
"7864","Asian","male",20,4,47.5,1139
"7865","European","male",45,4,54,2486
"7866","Maori","male",50,1,44,916
"7867","Maori","male",35,3,40,1678
"7868","European","male",25,3,57,1066
"7869","Pacific","male",20,2,25,384
"7870","Asian","female",20,1,38.5,2715
"7871","European","female",35,3,45,990
"7872","European","male",45,3,45,1535
"7873","Pacific","male",30,3,40,761
"7874","European","female",50,2,40,1055
"7875","Maori","female",20,3,20,286
"7876","Pacific","male",55,1,50,1074
"7877","Maori","male",30,1,43.5,588
"7878","European","male",60,3,28,655
"7879","Asian","male",30,3,42,1563
"7880","European","female",60,3,21,1151
"7881","European","female",40,1,40,468
"7882","European","male",30,2,55,1089
"7883","European","male",30,4,40,949
"7884","European","male",55,3,45,1205
"7885","European","female",50,2,3,45
"7886","European","female",55,3,30,455
"7887","European","female",40,3,40,2107
"7888","European","male",40,4,40,1691
"7889","Pacific","female",20,2,15,153
"7890","European","male",60,3,45,1076
"7891","Asian","female",25,3,37.5,567
"7892","Maori","female",35,3,32,389
"7893","European","male",30,1,48,797
"7894","European","female",40,2,7,611
"7895","European","female",30,4,12,215
"7896","European","male",30,3,15,189
"7897","European","male",25,3,37,481
"7898","Pacific","female",45,1,40,1118
"7899","European","male",20,2,36,869
"7900","European","male",25,3,40,795
"7901","European","male",35,3,46,745
"7902","Pacific","male",35,3,37,1013
"7903","European","female",25,1,4,74
"7904","European","female",40,2,40,540
"7905","Maori","female",25,1,40,1516
"7906","European","male",50,3,58,1212
"7907","European","male",25,3,42,851
"7908","European","female",55,2,40,1080
"7909","European","female",35,4,40,974
"7910","Asian","male",55,3,50,2188
"7911","Asian","female",25,2,15,1681
"7912","European","female",45,4,37,1161
"7913","Maori","male",20,3,24,306
"7914","European","female",40,3,44,1066
"7915","European","male",55,1,50,1762
"7916","European","male",30,3,46,1113
"7917","European","male",55,3,43,1141
"7918","Asian","female",25,4,26,490
"7919","European","female",65,1,6,269
"7920","European","male",30,1,45,2426
"7921","Maori","male",20,1,3,39
"7922","European","female",60,3,22,327
"7923","European","female",20,4,45,700
"7924","European","female",60,3,8,100
"7925","European","female",30,4,4,90
"7926","European","male",45,3,58,1340
"7927","European","male",40,3,6,264
"7928","Pacific","female",20,2,22.5,389
"7929","European","female",30,3,3,234
"7930","European","female",60,4,37,1078
"7931","European","female",45,4,40,1290
"7932","European","male",20,3,50,1100
"7933","European","female",15,1,37,749
"7934","European","male",40,3,42,1224
"7935","European","male",40,4,50,2602
"7936","European","male",30,3,50,1010
"7937","European","female",50,2,23,535
"7938","European","female",45,3,13,234
"7939","European","male",60,3,42.5,1075
"7940","European","female",45,2,25,399
"7941","European","male",30,1,60,1359
"7942","European","female",55,4,29.5,570
"7943","European","female",55,3,40,572
"7944","European","male",35,2,40,924
"7945","Asian","male",20,4,50,844
"7946","Asian","male",20,2,40,728
"7947","European","male",40,2,45,984
"7948","Maori","female",55,3,35,673
"7949","European","female",30,3,6.5,104
"7950","European","male",40,3,42.5,2907
"7951","Asian","male",40,1,40,1456
"7952","European","female",55,2,35,886
"7953","European","female",35,2,37,1272
"7954","European","male",15,2,46.5,767
"7955","European","male",65,2,50,751
"7956","European","male",65,3,37,2110
"7957","European","female",50,4,29,1952
"7958","European","male",45,2,40,1846
"7959","Maori","male",30,1,48,864
"7960","Maori","female",55,4,40,1467
"7961","European","female",35,3,43,710
"7962","Maori","female",20,3,35,539
"7963","European","female",45,4,40,2015
"7964","Asian","male",25,4,40,844
"7965","European","female",60,1,30,1960
"7966","European","male",35,3,45,932
"7967","European","male",40,3,50,708
"7968","European","male",45,1,40,924
"7969","European","female",40,4,50,989
"7970","European","male",55,2,40,1232
"7971","European","male",60,3,40,1122
"7972","Asian","male",20,4,23,355
"7973","European","male",35,3,5,159
"7974","Maori","female",15,3,45,990
"7975","European","female",65,1,45,1134
"7976","European","female",60,1,34,639
"7977","European","male",35,2,40,1320
"7978","European","male",40,2,9,2370
"7979","European","female",50,4,40,1264
"7980","European","female",45,3,32,2400
"7981","European","male",40,4,40,1688
"7982","European","female",50,1,12,292
"7983","European","female",60,1,31,692
"7984","European","male",45,1,15,1695
"7985","Pacific","female",25,4,20,341
"7986","Pacific","female",65,1,39,1305
"7987","European","male",20,3,50,688
"7988","European","female",50,2,40.5,795
"7989","Maori","male",55,3,40,1122
"7990","Asian","male",35,4,19,453
"7991","European","male",65,1,37,970
"7992","Asian","male",20,1,40,746
"7993","European","female",35,3,24,849
"7994","European","female",35,2,40,1478
"7995","European","female",25,3,8,234
"7996","Maori","female",25,4,12,1904
"7997","European","male",35,4,37,2071
"7998","European","male",35,4,50,2021
"7999","European","female",55,3,5,174
"8000","Asian","female",25,4,30,2010
"8001","Asian","male",25,4,42.5,579
"8002","European","female",55,3,25,489
"8003","European","male",15,1,40,1139
"8004","Pacific","male",20,1,40,658
"8005","European","female",25,2,6,248
"8006","Asian","male",25,4,40,1028
"8007","European","male",20,2,40,520
"8008","European","male",40,1,40,1036
"8009","European","male",60,1,51,1402
"8010","European","female",25,2,10,165
"8011","Pacific","female",35,2,20,278
"8012","European","male",30,3,40,1295
"8013","European","male",15,2,33.5,492
"8014","European","male",30,3,9,161
"8015","European","male",35,1,40,1520
"8016","European","male",45,3,47.5,1408
"8017","European","male",25,3,9,693
"8018","Asian","male",30,4,43.5,1754
"8019","European","female",55,4,40,1260
"8020","European","female",60,3,40,749
"8021","Asian","female",45,4,15,434
"8022","European","male",30,4,40,792
"8023","European","female",50,2,40,590
"8024","European","male",45,3,37.5,1055
"8025","European","female",30,4,40,949
"8026","European","male",45,3,40,878
"8027","European","female",30,3,28,481
"8028","Maori","male",20,1,34.5,767
"8029","European","female",25,4,32,1302
"8030","European","male",25,3,40,730
"8031","European","female",25,4,20,1139
"8032","Asian","female",55,4,39.5,905
"8033","Asian","female",30,1,40,639
"8034","European","female",35,2,41.5,763
"8035","European","male",30,4,60,1016
"8036","Asian","male",20,3,40,792
"8037","Asian","female",35,4,43,1806
"8038","European","male",20,2,40,654
"8039","European","male",35,3,45,1103
"8040","Asian","female",30,1,40,726
"8041","European","female",45,3,40,2004
"8042","European","female",20,2,11,157
"8043","Asian","female",25,1,37.5,2289
"8044","European","female",50,3,37,588
"8045","European","male",15,2,50,1139
"8046","European","female",55,2,10,176
"8047","Asian","male",35,3,40,1068
"8048","European","male",20,3,25,358
"8049","European","female",55,3,36,773
"8050","European","female",30,3,40,1367
"8051","European","male",65,3,40,842
"8052","European","male",30,1,40,777
"8053","European","female",50,1,49.5,1029
"8054","Asian","male",20,4,43,835
"8055","European","male",35,4,40,630
"8056","European","female",50,4,4,149
"8057","Maori","male",25,2,4,136
"8058","European","female",60,3,21,578
"8059","European","male",60,3,45,648
"8060","Asian","female",50,4,32,2265
"8061","European","male",25,2,42,726
"8062","Asian","male",30,3,30,403
"8063","Pacific","male",25,2,45,814
"8064","European","male",60,2,45,890
"8065","Asian","female",35,4,56,986
"8066","European","female",30,4,25.5,587
"8067","European","female",55,2,40,742
"8068","Asian","female",35,2,40,2774
"8069","Asian","female",65,2,43.5,1156
"8070","Maori","female",50,1,55,1169
"8071","Pacific","female",45,3,50,1161
"8072","European","male",25,3,50,875
"8073","European","male",45,4,47,1006
"8074","European","male",30,4,40,1112
"8075","European","female",35,1,36,1819
"8076","Asian","female",20,2,37.5,585
"8077","European","female",60,3,40,949
"8078","Asian","female",65,4,33,1180
"8079","European","female",40,2,24,920
"8080","Asian","female",20,1,37.5,1344
"8081","European","male",50,1,40,720
"8082","European","male",55,4,43.5,874
"8083","European","male",40,1,40,665
"8084","European","female",45,3,40,880
"8085","European","male",35,2,40,540
"8086","European","male",25,3,45,358
"8087","Asian","male",20,2,40,918
"8088","European","male",25,3,45,1092
"8089","European","female",45,3,40.5,3961
"8090","European","female",60,3,40,1105
"8091","European","male",35,2,40,732
"8092","Asian","female",30,4,45,693
"8093","European","male",65,4,34,680
"8094","European","female",30,3,7.5,105
"8095","European","male",45,1,30,1109
"8096","Asian","male",55,4,9,632
"8097","Pacific","female",45,4,48,784
"8098","European","female",20,1,42,737
"8099","European","female",50,3,38,582
"8100","European","male",45,1,40,828
"8101","Pacific","female",60,3,45,1542
"8102","European","male",40,3,45,929
"8103","European","male",45,3,50,1239
"8104","European","male",50,3,40,1320
"8105","European","male",55,4,50,2293
"8106","European","male",30,2,8,176
"8107","European","male",50,4,40,453
"8108","Asian","male",20,4,40,1243
"8109","European","male",30,2,30,510
"8110","Asian","female",25,4,33,672
"8111","European","male",40,3,55,1745
"8112","European","male",55,3,15,627
"8113","European","female",60,3,14,2313
"8114","European","male",35,4,40,1012
"8115","European","female",55,3,50,1835
"8116","European","female",55,3,40,794
"8117","Asian","female",30,3,42.5,414
"8118","European","female",30,4,20,749
"8119","European","male",50,4,45,1692
"8120","European","male",30,3,47.5,1084
"8121","European","male",35,3,40,2215
"8122","European","male",40,3,45,648
"8123","European","male",35,3,45,1128
"8124","European","male",15,2,40,467
"8125","European","male",45,3,42,842
"8126","Asian","male",20,1,41.5,809
"8127","European","male",35,4,37,2503
"8128","European","male",60,1,7,82
"8129","Pacific","male",15,1,40,578
"8130","European","female",50,4,40,1346
"8131","European","male",60,1,50,2431
"8132","European","female",60,3,40,1059
"8133","European","female",65,1,30,1492
"8134","European","female",60,1,40,583
"8135","Asian","female",20,1,55.5,1028
"8136","European","male",20,4,60,829
"8137","European","female",25,4,25,292
"8138","European","male",35,4,40,863
"8139","European","male",35,3,13,825
"8140","European","female",45,4,60,932
"8141","European","male",65,3,39,1482
"8142","European","female",65,3,37.5,1587
"8143","Asian","female",30,3,41,1050
"8144","European","female",25,4,12,284
"8145","European","female",60,1,40,697
"8146","European","female",55,1,60,916
"8147","European","female",30,3,40,704
"8148","European","male",50,2,35,561
"8149","European","female",65,1,38.5,869
"8150","European","female",45,3,42,707
"8151","European","female",40,3,50,1155
"8152","European","female",20,3,9,192
"8153","European","female",40,2,40,844
"8154","Maori","female",30,2,22,317
"8155","European","female",35,4,37,907
"8156","European","male",65,3,40,468
"8157","European","male",60,4,56,1485
"8158","European","male",25,1,42.5,818
"8159","Maori","male",45,3,40,828
"8160","European","male",65,2,16,1008
"8161","European","male",20,3,48,879
"8162","Asian","male",20,2,12,434
"8163","European","male",45,3,60,988
"8164","European","female",25,3,22.5,654
"8165","Pacific","male",40,2,30,1696
"8166","European","male",40,4,40,1814
"8167","European","male",35,4,50,2667
"8168","European","male",40,4,40,704
"8169","European","male",55,1,37.5,1619
"8170","European","male",25,2,40.5,591
"8171","European","male",15,2,4,50
"8172","Asian","male",20,2,20,330
"8173","European","female",35,4,10,575
"8174","European","male",45,3,45,2413
"8175","European","male",30,2,40,585
"8176","European","male",55,3,44,484
"8177","European","male",25,2,10,882
"8178","European","male",50,2,40,833
"8179","European","male",50,3,40,1000
"8180","European","female",55,1,40,700
"8181","European","female",40,1,37,780
"8182","European","male",20,2,11,148
"8183","Asian","female",20,2,38.5,911
"8184","European","male",25,3,40,946
"8185","European","female",15,2,37,960
"8186","European","female",25,4,37,1055
"8187","European","female",50,4,40,1295
"8188","Maori","female",40,1,40,690
"8189","European","male",45,2,40,1039
"8190","European","male",50,2,37,1450
"8191","European","male",60,2,40,1899
"8192","Maori","male",30,3,50,1375
"8193","Asian","female",30,4,8,422
"8194","Pacific","female",15,2,30,364
"8195","Asian","male",55,2,50,1363
"8196","European","female",60,4,40,1062
"8197","Asian","male",30,4,60,1416
"8198","European","male",55,1,65,2743
"8199","Pacific","female",35,4,40,844
"8200","Pacific","male",45,2,40,864
"8201","European","male",55,3,45,718
"8202","European","female",65,1,39,583
"8203","European","female",35,4,40,1184
"8204","European","male",50,3,60,1620
"8205","European","male",60,4,40,1465
"8206","European","female",35,3,16,259
"8207","European","female",40,3,15,578
"8208","European","female",20,2,22,380
"8209","European","male",30,4,37,1224
"8210","European","female",60,1,37.5,870
"8211","European","male",30,2,40,1402
"8212","Asian","male",20,2,40,880
"8213","European","female",50,2,40,1152
"8214","European","female",25,2,24,554
"8215","Pacific","male",15,3,50,1192
"8216","European","female",50,2,37.5,712
"8217","European","female",30,2,30,1208
"8218","European","male",20,2,40,572
"8219","European","female",25,2,40,844
"8220","European","female",65,1,37.5,904
"8221","Asian","female",35,2,40,666
"8222","European","male",30,2,40,1045
"8223","Pacific","male",50,3,46,1058
"8224","European","female",35,1,37.5,796
"8225","Maori","female",15,1,38.5,771
"8226","European","female",25,1,19,1139
"8227","European","female",50,3,44,752
"8228","European","female",30,2,40,702
"8229","European","male",50,2,40,1181
"8230","European","male",35,1,56,882
"8231","European","female",65,4,30,792
"8232","European","male",45,1,40,1408
"8233","European","male",60,3,40,1160
"8234","Asian","female",25,2,38.5,1165
"8235","European","female",30,4,30,792
"8236","European","male",20,3,40,468
"8237","European","female",50,2,16,1136
"8238","European","female",45,2,50,1477
"8239","European","male",45,4,40,1308
"8240","Pacific","male",15,3,21,265
"8241","Maori","female",40,1,6,1971
"8242","European","female",60,3,40,949
"8243","European","female",30,3,40,616
"8244","European","female",30,3,37,1133
"8245","European","male",50,1,42,3567
"8246","European","male",40,2,40,1540
"8247","Asian","female",30,2,38.5,601
"8248","European","female",25,3,14,1338
"8249","European","female",30,2,50,1594
"8250","European","male",30,3,40.5,932
"8251","European","male",30,3,48.5,659
"8252","Maori","male",35,3,40,828
"8253","European","male",45,2,50,957
"8254","European","female",45,4,12,1012
"8255","European","male",45,4,46,921
"8256","European","male",60,3,44,673
"8257","European","male",50,3,45,693
"8258","European","male",60,3,40,770
"8259","European","male",60,3,37.5,2359
"8260","Maori","female",65,3,25,322
"8261","European","male",65,1,37,703
"8262","European","female",65,1,28,658
"8263","European","male",65,3,40,1350
"8264","European","male",35,2,40.5,1694
"8265","European","male",25,3,45,1758
"8266","European","female",50,2,7.5,747
"8267","European","male",50,2,40,540
"8268","European","male",50,4,40,2462
"8269","European","male",35,2,30,580
"8270","European","female",55,2,32,737
"8271","European","female",65,1,39,898
"8272","European","male",30,3,44,961
"8273","Asian","female",50,2,20,396
"8274","European","male",20,2,51,1266
"8275","Maori","male",25,3,40,639
"8276","European","female",30,3,40,1502
"8277","European","female",20,2,26,323
"8278","European","female",60,4,37,1973
"8279","Maori","female",35,4,14,313
"8280","Pacific","male",20,1,60,1016
"8281","European","female",45,2,55,1243
"8282","Asian","male",35,4,41,1899
"8283","Maori","male",35,3,45,1239
"8284","European","male",50,3,41.5,1357
"8285","European","male",30,3,47.5,941
"8286","European","female",65,3,30,1319
"8287","European","male",20,3,25,338
"8288","European","male",40,1,40,2166
"8289","Pacific","male",30,2,40,576
"8290","European","female",25,3,25,938
"8291","European","female",40,4,40,598
"8292","European","female",55,2,42,2022
"8293","European","male",30,4,20,266
"8294","Asian","female",25,1,45,742
